# Project: All	Gene: All	Tested donors: 10648
MUTATIONS	AFFECTED_DONORS_PER_MUTATION
43867230	1	
2341051	2	
334148	3	
92037	4	
31909	5	
13087	6	
6020	7	
2981	8	
1636	9	
939	10	
608	11	
389	12	
261	13	
184	14	
131	15	
100	16	
81	17	
54	18	
57	19	
21	20	
31	21	
33	22	
16	23	
13	24	
13	25	
14	26	
14	27	
10	28	
7	29	
7	30	
8	31	
8	32	
4	33	
4	34	
4	35	
4	36	
3	38	
3	39	
5	40	
2	41	
5	43	
4	44	
2	45	
1	46	
1	47	
1	49	
2	50	
1	52	
1	54	
1	55	
1	56	
1	59	
1	63	
1	66	
2	67	
1	71	
1	72	
1	79	
1	81	
1	87	
1	90	
1	93	
1	101	
1	113	
2	114	
1	131	
1	140	
1	216	
1	220	
1	237	
1	257	
1	263	
1	352	
1	546	
